2024-12-09 13:14:30 | INFO | Saving logs to outputs/crossUpdateLpdUnet2D_1/20241209_1314_logs.log...
2024-12-09 13:14:32 | INFO | Cross_Update_LPD_Unet2D model loaded successfully!
2024-12-09 13:14:33 | INFO | crossUpdateLpdUnet2D_1 - number of parameters: 22,543,894
2024-12-09 13:23:46 | DEBUG | 3/200 - batch 77/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:48 | DEBUG | 3/200 - batch 78/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:51 | DEBUG | 3/200 - batch 79/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:53 | DEBUG | 3/200 - batch 80/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:55 | DEBUG | 3/200 - batch 81/84 | VRAM: 36.54/47.53GB
2024-12-09 13:23:57 | DEBUG | 3/200 - batch 82/84 | VRAM: 36.54/47.53GB
2024-12-09 13:24:00 | DEBUG | 3/200 - batch 83/84 | VRAM: 36.54/47.53GB
2024-12-09 13:24:02 | DEBUG | 3/200 - batch 84/84 | VRAM: 36.54/47.53GB
2024-12-09 13:24:02 | INFO | 3/200 - loss 6.85e-01; PSNR 21.612; SSIM 0.326
2024-12-09 13:24:03 | DEBUG | 4/200 - batch 1/84 | VRAM: 36.54/47.53GB
2024-12-09 13:24:05 | DEBUG | 4/200 - batch 2/84 | VRAM: 36.54/47.53GB
2024-12-09 13:24:07 | DEBUG | 4/200 - batch 3/84 | VRAM: 36.54/47.53GB
2024-12-09 13:24:09 | DEBUG | 4/200 - batch 4/84 | VRAM: 36.54/47.53GB
2024-12-09 13:24:11 | DEBUG | 4/200 - batch 5/84 | VRAM: 36.54/47.53GB
2024-12-09 13:24:14 | DEBUG | 4/200 - batch 6/84 | VRAM: 36.54/47.53GB
2024-12-09 13:24:16 | DEBUG | 4/200 - batch 7/84 | VRAM: 36.54/47.53GB
2024-12-09 13:24:18 | DEBUG | 4/200 - batch 8/84 | VRAM: 36.54/47.53GB
2024-12-09 13:24:21 | DEBUG | 4/200 - batch 9/84 | VRAM: 36.54/47.53GB
