2024-11-24 20:39:01 | DEBUG | 3/200 - batch 42/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:03 | DEBUG | 3/200 - batch 43/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:05 | DEBUG | 3/200 - batch 44/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:06 | DEBUG | 3/200 - batch 45/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:08 | DEBUG | 3/200 - batch 46/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:11 | DEBUG | 3/200 - batch 47/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:12 | DEBUG | 3/200 - batch 48/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:14 | DEBUG | 3/200 - batch 49/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:16 | DEBUG | 3/200 - batch 50/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:18 | DEBUG | 3/200 - batch 51/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:20 | DEBUG | 3/200 - batch 52/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:22 | DEBUG | 3/200 - batch 53/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:24 | DEBUG | 3/200 - batch 54/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:26 | DEBUG | 3/200 - batch 55/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:28 | DEBUG | 3/200 - batch 56/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:30 | DEBUG | 3/200 - batch 57/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:32 | DEBUG | 3/200 - batch 58/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:34 | DEBUG | 3/200 - batch 59/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:35 | DEBUG | 3/200 - batch 60/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:37 | DEBUG | 3/200 - batch 61/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:39 | DEBUG | 3/200 - batch 62/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:41 | DEBUG | 3/200 - batch 63/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:43 | DEBUG | 3/200 - batch 64/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:45 | DEBUG | 3/200 - batch 65/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:47 | DEBUG | 3/200 - batch 66/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:49 | DEBUG | 3/200 - batch 67/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:51 | DEBUG | 3/200 - batch 68/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:53 | DEBUG | 3/200 - batch 69/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:55 | DEBUG | 3/200 - batch 70/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:57 | DEBUG | 3/200 - batch 71/84 | VRAM: 28.08/47.53GB
2024-11-24 20:39:58 | DEBUG | 3/200 - batch 72/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:00 | DEBUG | 3/200 - batch 73/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:02 | DEBUG | 3/200 - batch 74/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:04 | DEBUG | 3/200 - batch 75/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:06 | DEBUG | 3/200 - batch 76/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:08 | DEBUG | 3/200 - batch 77/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:10 | DEBUG | 3/200 - batch 78/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:12 | DEBUG | 3/200 - batch 79/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:14 | DEBUG | 3/200 - batch 80/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:16 | DEBUG | 3/200 - batch 81/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:18 | DEBUG | 3/200 - batch 82/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:19 | DEBUG | 3/200 - batch 83/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:21 | DEBUG | 3/200 - batch 84/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:21 | INFO | 3/200 - loss 6.53e-01; PSNR 21.942; SSIM 0.679
2024-11-24 20:40:22 | DEBUG | 4/200 - batch 1/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:24 | DEBUG | 4/200 - batch 2/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:25 | DEBUG | 4/200 - batch 3/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:27 | DEBUG | 4/200 - batch 4/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:29 | DEBUG | 4/200 - batch 5/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:30 | DEBUG | 4/200 - batch 6/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:32 | DEBUG | 4/200 - batch 7/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:34 | DEBUG | 4/200 - batch 8/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:36 | DEBUG | 4/200 - batch 9/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:38 | DEBUG | 4/200 - batch 10/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:40 | DEBUG | 4/200 - batch 11/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:42 | DEBUG | 4/200 - batch 12/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:44 | DEBUG | 4/200 - batch 13/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:46 | DEBUG | 4/200 - batch 14/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:47 | DEBUG | 4/200 - batch 15/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:49 | DEBUG | 4/200 - batch 16/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:51 | DEBUG | 4/200 - batch 17/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:53 | DEBUG | 4/200 - batch 18/84 | VRAM: 28.08/47.53GB
2024-11-24 20:40:55 | DEBUG | 4/200 - batch 19/84 | VRAM: 28.08/47.53GB
