2024-12-09 05:58:17 | INFO | Saving logs to outputs/crossSinogramLpdUnet2D_1/20241209_0558_logs.log...
2024-12-09 05:58:18 | INFO | Cross_Sinogram_LPD_Unet2D model loaded successfully!
2024-12-09 05:58:18 | INFO | crossSinogramLpdUnet2D_1 - number of parameters: 22,459,858
2024-12-09 06:06:46 | DEBUG | 3/200 - batch 61/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:48 | DEBUG | 3/200 - batch 62/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:51 | DEBUG | 3/200 - batch 63/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:53 | DEBUG | 3/200 - batch 64/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:55 | DEBUG | 3/200 - batch 65/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:57 | DEBUG | 3/200 - batch 66/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:59 | DEBUG | 3/200 - batch 67/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:02 | DEBUG | 3/200 - batch 68/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:04 | DEBUG | 3/200 - batch 69/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:06 | DEBUG | 3/200 - batch 70/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:08 | DEBUG | 3/200 - batch 71/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:11 | DEBUG | 3/200 - batch 72/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:13 | DEBUG | 3/200 - batch 73/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:15 | DEBUG | 3/200 - batch 74/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:17 | DEBUG | 3/200 - batch 75/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:19 | DEBUG | 3/200 - batch 76/84 | VRAM: 33.02/47.53GB
2024-12-09 06:07:22 | DEBUG | 3/200 - batch 77/84 | VRAM: 33.02/47.53GB
